//df = prepro("data/base.csv",['ì›”']), add "epochs": 5,10
,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix,Avg Early Stopping Epoch
0,DynamicANNWrapper0,0.9526429121896575,0.9540259911241546,0.9526171424089573,0.9528028172715246,"[[2479   67   34]
 [ 191 2384    4]
 [  64    4 2511]]",
1,DynamicANNWrapper0,0.9506795318108601,0.9518222994094497,0.9504510012598526,0.9507005757605492,"[[2431   93   56]
 [ 173 2398    8]
 [  47    2 2529]]",
2,DynamicANNWrapper0,0.9548394113466356,0.9564546168029496,0.9549368408495518,0.9550849772027217,"[[2483   75   21]
 [ 175 2399    5]
 [  69    2 2508]]",
3,DynamicANNWrapper0,0.9552782072637014,0.9569868042901799,0.955355994726213,0.9554800104874396,"[[2505   50   24]
 [ 198 2375    6]
 [  58    8 2514]]",
4,DynamicANNWrapper0,0.9856352779543054,0.9858029793413625,0.9856389121372258,0.9855976863754379,"[[2491   61   27]
 [   0 2576    3]
 [  13    4 2562]]",
5,DynamicANNWrapper0,0.9864103716114556,0.9865850783633568,0.9864210558570896,0.9863826285827594,"[[2494   61   25]
 [   0 2575    4]
 [  10    3 2566]]",
